1.09568,1.09625,1.09235,1.09342
1.097,1.09744,1.09529,1.09567
1.0943,1.10176,1.09345,1.09803
1.08756,1.0973,1.0833,1.0943
1.08254,1.08855,1.08241,1.08757
1.08287,1.08885,1.08096,1.08255
1.08171,1.08604,1.08113,1.08288
1.08209,1.08231,1.08146,1.08172
1.07795,1.08256,1.0727,1.08245
1.08232,1.08465,1.07559,1.07799
1.0854,1.08853,1.08033,1.0823
1.08642,1.08802,1.08165,1.08541
1.08678,1.08965,1.08412,1.08643
1.08677,1.08789,1.08643,1.08678
1.08607,1.08928,1.0812,1.08739
1.09019,1.09073,1.08164,1.08607
1.09838,1.09881,1.08565,1.0902
1.09149,1.09908,1.09147,1.09835
1.09364,1.09677,1.08925,1.09149
1.09434,1.09435,1.09322,1.09365
1.09272,1.09523,1.09196,1.09351
1.08591,1.09518,1.0841,1.09268
1.08921,1.09021,1.08299,1.08591
1.07852,1.09262,1.07846,1.08923
1.08178,1.08354,1.07683,1.07849
1.08097,1.08219,1.08001,1.08178
1.08501,1.08554,1.07727,1.0813
1.09556,1.09645,1.08206,1.08501
1.10231,1.10375,1.09027,1.09556
1.10418,1.10428,1.09268,1.10232
1.11098,1.11442,1.101,1.10418
1.11195,1.1131,1.11059,1.11098
1.10345,1.11473,1.09533,1.11433
1.08812,1.10586,1.08746,1.10345
1.08118,1.08941,1.07604,1.08811
1.0747,1.08881,1.0744,1.08118
1.06594,1.08281,1.06582,1.07454
1.07052,1.07059,1.06361,1.06594
1.06638,1.0831,1.06376,1.06919
1.09331,1.09816,1.06543,1.06638
1.10161,1.10453,1.08017,1.09327
1.1168,1.11893,1.09548,1.10156
1.11576,1.12369,1.1085,1.11681
1.11384,1.11997,1.11284,1.11572
1.11754,1.12213,1.1055,1.11037
1.12588,1.13334,1.10556,1.11753
1.13085,1.13668,1.12504,1.12587
1.14384,1.14388,1.12749,1.13085
1.13873,1.14947,1.13561,1.14383
1.13438,1.13952,1.13359,1.13868
1.12227,1.13547,1.12116,1.12903
